Type,Result,WL,Defer,Attend,GPA,"Highest Comb SAT 1600",ACT,Year
EA,Accepted,,,Unknown,4.314,1400,35,2016
RD,Denied,,,No,3.492,1410,-,2016
PRI,Accepted,,,No,3.883,1150,-,2016
EA,Accepted,,,No,4.502,1580,36,2016
RD,Incomplete,,,No,3.459,1360,-,2016
ED,Accepted,,,No,4.014,1460,-,2016
PRI,Accepted,,,No,3.943,1440,-,2016
RD,Incomplete,,,No,4.006,1400,31,2016
EA,Denied,,,No,3.673,1080,-,2016
PRI,Accepted,,,Yes,3.829,1300,31,2016
RD,Incomplete,,,No,3.353,1150,30,2016
PRI,Accepted,,,No,4.194,1400,32,2016
RD,Incomplete,,,No,3.914,1540,35,2016
EA,Incomplete,,,No,4.041,1300,-,2016
PRI,Denied,,,No,3.536,920,-,2016
RD,Denied,,,No,3.401,1040,27,2016
